region,state,month,revenue,units,discount_pct
North,NY,Jul,14955.61,777,0.139
South,TX,Aug,71177.64,414,0.117
East,MA,Sep,44115.47,443,0.129
West,CA,Jul,58074.38,93,0.19
North,NY,Aug,13270.21,285,0.054
South,TX,Sep,46316.08,837,0.111
East,MA,Jul,83749.0,699,0.05
West,CA,Aug,51004.86,95,0.097
North,NY,Sep,16786.01,801,0.263
South,TX,Jul,82699.27,494,0.171
East,MA,Aug,25275.83,678,0.295
West,CA,Sep,74385.71,344,0.084
North,NY,Jul,19301.92,840,0.233
South,TX,Aug,75171.34,495,0.04
East,MA,Sep,36392.86,631,0.208
West,CA,Jul,71381.58,863,0.054
North,NY,Aug,26546.3,269,0.021
South,TX,Sep,37337.49,560,0.03
East,MA,Jul,81043.85,734,0.271
West,CA,Aug,13965.58,359,0.283
North,NY,Sep,63287.49,425,0.065
South,TX,Jul,42490.5,266,0.16
East,MA,Aug,41167.53,589,0.193
West,CA,Sep,66100.06,860,0.119
North,NY,Jul,55993.05,197,0.185
South,TX,Aug,69103.59,342,0.133
East,MA,Sep,50380.9,859,0.059
West,CA,Jul,40054.14,180,0.078
North,NY,Aug,32055.34,429,0.165
South,TX,Sep,50625.55,613,0.17
East,MA,Jul,89608.41,733,0.133
West,CA,Aug,61572.38,642,0.179
North,NY,Sep,70739.86,126,0.116
South,TX,Jul,85088.26,475,0.142
East,MA,Aug,23529.81,587,0.163
West,CA,Sep,57724.98,519,0.284
North,NY,Jul,43656.31,619,0.12
South,TX,Aug,34991.56,623,0.086
East,MA,Sep,62408.92,654,0.279
West,CA,Jul,63087.42,845,0.089
North,NY,Aug,11121.0,330,0.176
South,TX,Sep,60639.41,498,0.226
East,MA,Jul,41196.44,402,0.225
West,CA,Aug,14012.66,820,0.283
North,NY,Sep,15880.34,309,0.129
South,TX,Jul,48208.68,853,0.073
East,MA,Aug,51868.76,820,0.273
West,CA,Sep,21549.16,331,0.181
North,NY,Jul,19207.46,719,0.125
South,TX,Aug,19437.19,133,0.107
East,MA,Sep,22377.93,452,0.133
West,CA,Jul,63431.3,546,0.18
North,NY,Aug,61167.45,778,0.126
South,TX,Sep,72237.34,623,0.245
East,MA,Jul,20957.88,377,0.22
West,CA,Aug,29072.88,196,0.151
North,NY,Sep,34688.17,599,0.187
South,TX,Jul,38734.71,358,0.183
East,MA,Aug,68006.04,795,0.178
West,CA,Sep,60648.05,851,0.072
North,NY,Jul,86151.66,594,0.294
South,TX,Aug,83257.76,779,0.012
East,MA,Sep,14862.95,357,0.078
West,CA,Jul,12152.31,118,0.031
North,NY,Aug,53331.85,154,0.227
South,TX,Sep,83030.91,244,0.165
East,MA,Jul,60488.43,462,0.145
West,CA,Aug,38327.94,426,0.103
North,NY,Sep,69586.15,156,0.241
South,TX,Jul,45784.76,718,0.251
East,MA,Aug,71515.04,535,0.127
West,CA,Sep,30645.78,234,0.111
North,NY,Jul,62292.62,690,0.098
South,TX,Aug,53889.08,844,0.248
East,MA,Sep,24709.39,749,0.111
West,CA,Jul,17761.36,411,0.024
North,NY,Aug,16641.71,657,0.17
South,TX,Sep,75224.06,554,0.09
East,MA,Jul,72040.25,157,0.093
West,CA,Aug,82854.72,698,0.025
North,NY,Sep,34304.42,822,0.229
South,TX,Jul,36235.95,226,0.066
East,MA,Aug,62581.05,414,0.11
